,track,artist,tempo,danceability,acousticness,energy,decade,genre
23312,Hot In The City,Billy Idol,0.4605733505092721,0.66,0.00316,0.897,80s,latin
23313,Misty Roses,Astrud Gilberto,0.4813584455499269,0.527,0.693,0.316,90s,pop
23314,Never Ever,All Saints,0.5558169685572626,0.738,0.559,0.541,90s,r&b
23315,Soul Sermon,Gregg Karukas,0.38928353967931806,0.736,0.693,0.419,90s,pop
23316,Clarinet Marmalade - Live,Alton Purnell,0.4731073675664704,0.565,0.655,0.594,90s,r&b
23317,До смерті і довше - Drum & Base and Rock Remix,Skryabin,0.6344300253082763,0.513,1.72e-05,0.76,90s,r&b
23318,Cuspa Cerveja...,Os Pedrero,0.704344656474321,0.166,0.147,0.985,90s,rock
23319,Baby-Baby-Baby,TLC,0.7628684922314776,0.679,0.0913,0.597,90s,edm
23320,I Missed The Bus,Kris Kross,0.44699552238187745,0.811,0.00469,0.634,90s,pop
23321,The Comfort Zone,Vanessa Williams,0.3972736648952254,0.528,0.641,0.234,90s,pop
23322,Hardcore Rules,25 Ta Life,0.8303475642337308,0.207,0.000118,0.989,90s,rock
23323,Black Cat,Janet Jackson,0.47617252705831675,0.705,0.103,0.913,90s,r&b
23324,Piedra,Caifanes,0.47659502201530096,0.643,0.0357,0.816,90s,r&b
23325,Jack Introduces Don't Think Twice,Ramblin' Jack Elliott,0.3633125261470531,0.567,0.706,0.0638,90s,rap
23326,I'll Be Loving You,Collage,0.5549181312468158,0.62,0.00591,0.868,90s,latin
23327,Prelude and Story,Tony Kinsey,0.523264146332371,0.295,0.916,0.209,90s,rock
23328,No Fool No More,En Vogue,0.3149865588614175,0.53,0.444,0.679,90s,r&b
23329,Universal Heart-Beat,Juliana Hatfield,0.5300530603960683,0.534,0.0359,0.814,90s,pop
23330,Last Goodbye,Kenny Wayne Shepherd,0.6186071749584754,0.461,0.0275,0.695,90s,r&b
23331,Wade in the Water,Ella Jenkins,0.5333543200109352,0.486,0.83,0.262,90s,r&b
23332,Connected,Stereo MC's,0.41682441192429887,0.647,0.0498,0.798,90s,r&b
23333,Transylvanian Concubine (The Manson Mix (Radio Edit))**,Rasputina,0.43065905071182115,0.666,3.86e-05,0.765,90s,pop
23334,"Hey Helmut, wach auf! - Rock Mix",Holger,0.37245415722611347,0.48,0.66,0.775,90s,r&b
23335,Lo Mejor del Rock N' Roll,Expulsados,0.7690402322893841,0.273,0.0153,0.824,90s,rock
23336,Every Heartbeat,Amy Grant,0.5258653897930189,0.648,0.288,0.89,90s,latin
23337,A Life of Possibilities,Dismemberment Plan,0.5197723497761191,0.709,0.101,0.837,90s,r&b
23338,Sluttering (May 4th),Jawbreaker,0.6585329483934836,0.433,0.00338,0.983,90s,r&b
23339,Reach For The Sky,Firehouse,0.5491150387494149,0.562,1.21e-05,0.891,90s,r&b
23340,Decidete,Luis Miguel,0.5616946189882488,0.614,0.63,0.904,90s,latin
23341,"Musica ricercata: No. 7, Cantabile, molto legato",György Ligeti,0.4563525430468514,0.278,0.986,0.00897,90s,rock
23342,On Point,House Of Pain,0.43164901438553904,0.814,0.0464,0.537,90s,pop
23343,Monster Jam,Spoonie Gee Meets The Sequence,0.44184688285706,0.882,0.449,0.914,90s,r&b
23344,To Be With You,Mr. Big,0.3464251541899488,0.688,0.286,0.375,90s,pop
23345,Say It (Over And Over Again),John Coltrane Quartet,0.2766969178578677,0.482,0.946,0.115,90s,r&b
23346,Someday,Sugar Ray,0.45907804973014166,0.743,0.0108,0.67,90s,r&b
23347,Pop Loser,Velocity Girl,0.5280938435857395,0.588,0.0808,0.835,90s,pop
23348,Metal Maniac Master Mind,U.D.O.,0.404795731972513,0.43,0.0723,0.922,90s,r&b
23349,A Promise I Make,Dakota Moon,0.37327843660297483,0.711,0.273,0.481,90s,r&b
23350,Watch For The Hook,"Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor",0.3601686666142,0.561,0.0211,0.72,90s,rap
23351,Powerful Thing,Trisha Yearwood,0.6129407720059812,0.614,0.413,0.868,90s,latin
23352,Condon Nacional,Sexual Democracia,0.3767660910518053,0.631,0.275,0.458,90s,r&b
23353,Hell Bent for Leather,Judas Priest,0.3993157238539824,0.497,0.00758,0.831,90s,pop
23354,I Luv U Baby,The Original,0.525306205291128,0.69,0.106,0.838,90s,pop
23355,For the Love of God,Steve Vai,0.3955298376708101,0.152,0.00347,0.842,90s,rock
23356,Yamral Tiletish,The Roha Band,0.4644834999150868,0.672,0.436,0.697,90s,r&b
23357,Rock n' Roll,Suicide,0.4210990667831979,0.251,0.000124,0.34,90s,rock
23358,My Bucket's Got A Hole In It,Kid Ory,0.5742410623677114,0.685,0.491,0.409,90s,r&b
23359,If I Ruled The World,Nas,0.38897702373013343,0.879,0.0474,0.564,90s,rap
23360,A New Dawn - Gujarat Prabhatiyu,Rakesh Chaurasia,0.5874088218603861,0.347,0.364,0.54,90s,rock
23361,Alright - Demo,Osker,0.45009796084051645,0.319,0.124,0.967,90s,rock
23362,Images In Stone,Patrick O'Hearn,0.29021261437394114,0.174,0.0402,0.278,90s,rock
23363,Punk Rock 101,Diesel Boy,0.42420564734925836,0.327,3.28e-05,0.906,90s,rock
23364,Going Great,Keith Mansfield,0.44746358052049723,0.595,0.00262,0.729,90s,pop
23365,Teenage Chase,Keith Mansfield,0.6021422979583553,0.735,0.195,0.575,90s,pop
23366,Say It,Voices Of Theory,0.25642958624488965,0.381,0.675,0.415,90s,r&b
23367,Darn That Dream,Dexter Gordon,0.4779494911421033,0.526,0.918,0.0921,90s,r&b
23368,The Christmas Song,Rosemary Clooney,0.5403089183714891,0.359,0.9,0.225,90s,rock
23369,Segura esta Mulher,Silvio Caldas,0.4957067056577045,0.821,0.925,0.424,90s,pop
23370,When Will I See You Smile Again?,Bell Biv DeVoe,0.5137083045111692,0.727,0.0492,0.436,90s,r&b
23371,King Darius Suite,VeggieTales,0.5776458746681136,0.64,0.794,0.361,90s,rap
23372,Georgia On My Mind,Michael Bolton,0.6563790525343485,0.321,0.256,0.435,90s,rock
23373,My Name Is,Eminem,0.3542288845718925,0.869,0.0416,0.68,90s,rap
23374,Thrash Under Pressure,Exodus,0.4392663499335192,0.373,0.000402,0.997,90s,latin
23375,Foolish Heart,Sharon Bryant,0.3959854694871657,0.642,0.481,0.419,90s,r&b
23376,That's The Way Love Goes,Young M.C.,0.49004858692005315,0.849,0.0232,0.694,90s,pop
23377,Stock Yards Strut,Small Jazz Band,0.46598708490906005,0.802,0.712,0.437,90s,r&b
23378,No Myth,Michael Penn,0.4287246865460209,0.633,0.054,0.795,90s,r&b
23379,Amor De Escuela,Luis Miguel,0.4725813199239509,0.541,0.277,0.726,90s,pop
23380,Kalinka,Limpopo,0.49889612837219316,0.452,0.78,0.715,90s,pop
23381,When It's Sleepytime Down South,Wynton Marsalis,0.369977176988108,0.532,0.865,0.132,90s,r&b
23382,Creep With Me,South Park Mexican,0.6628738769711253,0.847,0.229,0.529,90s,rap
23383,Hair Shoes (Demo),Pale Saints,0.32868865021145455,0.12,0.15,0.368,90s,rock
23384,Can't Let Go,Mariah Carey,0.6725456978001267,0.477,0.591,0.533,90s,r&b
23385,Oirectine,Boards of Canada,0.43947345530458987,0.826,0.225,0.47,90s,r&b
23386,"Tsar Saltan, Op. 57: Flight of the Bumblebee",Nikolai Rimsky-Korsakov,0.3455760221685589,0.458,0.977,0.11,90s,pop
23387,L.A. Song,Beth Hart,0.5293530442418494,0.351,0.206,0.615,90s,rock
23388,Rock-n-roll - это не работа,Alisa,0.47748143300348356,0.496,0.179,0.869,90s,r&b
23389,Blues X Man,The Jon Spencer Blues Explosion,0.3927711941281485,0.633,0.281,0.647,90s,pop
23390,Church Of Your Heart,Roxette,0.46572613214151093,0.581,0.0146,0.637,90s,pop
23391,Can't Stop This Thing We Started,Bryan Adams,0.46841435985800856,0.497,0.0112,0.93,90s,latin
23392,Peach,Beborn Beton,0.5178007066435261,0.632,0.0235,0.852,90s,r&b
23393,Downtown Train,Rod Stewart,0.4760979691247313,0.527,0.0878,0.584,90s,r&b
23394,One Of Us,Joan Osborne,0.7239658193295585,0.316,0.0108,0.499,90s,rock
23395,Love On My Mind,Xscape,0.4220393251678589,0.892,0.0316,0.488,90s,pop
23396,My Baby Mama,QT,0.5141390836829962,0.688,0.114,0.519,90s,r&b
23397,Something Wild,Iggy Pop,0.5345141100889311,0.595,0.0463,0.772,90s,r&b
23398,Everybodies Girl,Dwarves,0.5927314298969029,0.381,0.00532,0.968,90s,latin
23399,Screaming for Vengeance,Judas Priest,0.4677599068854251,0.391,0.00922,0.979,90s,r&b
23400,Who Is It,Michael Jackson,0.42733293845242587,0.862,0.0152,0.595,90s,r&b
23401,Bad Girl,Madonna,0.6084631538834328,0.645,0.0211,0.484,90s,r&b
23402,Destiny,Myron,0.4807164188996077,0.614,0.0226,0.419,90s,rap
23403,That's Not Her Style,Billy Joel,0.4897834920450827,0.65,0.0412,0.899,90s,r&b
23404,Our Delight,Jan Lundgren Trio,0.4678261806041678,0.464,0.743,0.443,90s,pop
23405,December,Collective Soul,0.5053163948753847,0.684,0.589,0.645,90s,r&b
23406,Little Bird,Annie Lennox,0.5177427171396263,0.767,0.247,0.521,90s,r&b
23407,When You Don't See Me (Remastered),Sisters of Mercy,0.5022636617058026,0.666,0.00837,0.803,90s,r&b
23408,"She Was Tall, She Was High",The Pretty Things,0.5806903236228529,0.444,0.0492,0.479,90s,pop
23409,"I Love Music (From """"Carlito's Way"""")",Rozalla,0.5218309771645617,0.714,0.0376,0.686,90s,r&b
23410,Bad Reputation,Freedy Johnston,0.47239078298256587,0.608,0.0058,0.677,90s,r&b
23411,Few And Far Between,"10,000 Maniacs",0.5535056726161136,0.614,0.0081,0.928,90s,latin
23412,Gettin' Jiggy Wit It,Will Smith,0.44689611180376354,0.881,0.0175,0.874,90s,latin
23413,VLetrmx,Autechre,0.48010752910865995,0.193,0.928,0.266,90s,rock
23414,Like The Worms,Kickback,0.3661747223752501,0.446,2.46e-05,0.896,90s,latin
23415,1/2/2003,The Chimes,0.454807536978664,0.826,0.0336,0.611,90s,pop
23416,Waiting For That Day,George Michael,0.7141490247408077,0.612,0.217,0.777,90s,edm
23417,Bang Bang,David Sanborn,0.5263541584687457,0.716,0.589,0.915,90s,r&b
23418,Guitar Solo (Trilogy Suite Opus 5 / Spasebo Blues),Yngwie Malmsteen,0.49518065801518496,0.2,0.0702,0.944,90s,rock
23419,Nicety,Michel'le,0.4272211015520477,0.83,0.0105,0.712,90s,pop
23420,Don't Ask Me to Explain,of Montreal,0.595953989470763,0.456,0.672,0.752,90s,pop
23421,"Horn Concerto No. 1 in D Major, K. 412 (arr. C. Lindberg): II. Rondo: Allegro",Christian Lindberg,0.5086797861015727,0.616,0.984,0.12,90s,pop
23422,1st Of Tha Month,Bone Thugs-N-Harmony,0.30667334926663986,0.729,0.0777,0.581,90s,r&b
23423,Are You That Somebody?,Aaliyah,0.5714161451063072,0.848,0.124,0.663,90s,r&b
23424,Angels From the Realms of Glory,Discovery Singers,0.31084445144000367,0.513,0.976,0.258,90s,pop
23425,Trouble Man,Reuben Wilson,0.6752836308056813,0.496,0.513,0.47,90s,r&b
23426,At The Atlantis,Bad Brains,0.5602863024649681,0.339,4.87e-06,0.927,90s,rock
23427,All Lips N' Hips,Electric Boys,0.38608169064256515,0.561,0.0886,0.927,90s,r&b
23428,There Will Never Be Another You,Lester Young,0.34330200519420273,0.567,0.989,0.0341,90s,pop
23429,1969,Sisters of Mercy,0.4082295390248651,0.463,8.95e-06,0.762,90s,pop
23430,Fastlove,George Michael,0.43261826752214994,0.735,0.052,0.64,90s,r&b
23431,Modess Punk Rock,Tequila Baby,0.5673361692962144,0.369,0.207,0.951,90s,latin
23432,Morning Broadway,Keith Mansfield,0.3909031036810909,0.758,0.32,0.528,90s,pop
23433,Happy Days,Silk,0.39061315616159187,0.697,0.00185,0.544,90s,r&b
23434,O Sol Nascerá (A Sorrir),Cartola,0.4180918967952515,0.69,0.554,0.613,90s,pop
23435,No More Tears,Ozzy Osbourne,0.42494294247027,0.346,0.00167,0.749,90s,rock
23436,Bring The Pain,Method Man,0.42203518306043747,0.835,0.38,0.456,90s,rap
23437,Pra Você Gostar de Mim,Vital Farias,0.5791784544140368,0.383,0.799,0.38,90s,r&b
23438,Tryin' To Get Over You,Vince Gill,0.2506140674252246,0.578,0.632,0.371,90s,pop
23439,The Chicken Cow,Wesley Willis,0.7046221776715557,0.649,0.0163,0.473,90s,edm
23440,Body and Soul,"Richard """"Groove"""" Holmes",0.4030767573926262,0.487,0.935,0.112,90s,r&b
23441,If Wishes Came True,Sweet Sensation,0.595324389142708,0.493,0.0944,0.453,90s,r&b
23442,Butterfly's Day Out,Mark O'Connor,0.46358466260464,0.393,0.966,0.0967,90s,r&b
23443,Why Can't You Come Home,Ex-Girlfriend,0.42850929696010737,0.777,0.00754,0.47,90s,r&b
23444,Just Ideas - Instrumental,John McLaughlin,0.5205013606822879,0.194,0.846,0.0486,90s,rock
23445,Influência Do Jazz,Tamba Trio,0.4582993335349159,0.559,0.669,0.594,90s,pop
23446,Shoop,Salt-N-Pepa,0.40144476706858917,0.939,0.0915,0.675,90s,r&b
23447,Improvisation #2,NRG Ensemble,0.28764036566524315,0.572,0.806,0.326,90s,rap
23448,All Sons Of Bitches,George Clinton & The P-Funk All Stars,0.45585549015628174,0.817,0.0188,0.815,90s,r&b
23449,Fall Children,AFI,0.6588891696317252,0.213,0.000187,0.988,90s,rock
23450,E-Lectric - Live,S.P.O.C.K,0.4967298061907937,0.826,0.159,0.993,90s,r&b
23451,Everyone Falls In Love,Tanto Metro & Devonte,0.3976340282408884,0.754,0.0275,0.702,90s,pop
23452,You Won't Forget Me,La Bouche,0.5510866818820078,0.722,0.0182,0.91,90s,latin
23453,Just Another Day,Jon Secada,0.43862432328320006,0.717,0.0194,0.642,90s,r&b
23454,Ram It Down,Judas Priest,0.5869780426885591,0.309,0.000809,0.983,90s,rock
23455,Suspicious (West Coast Experimental Pop Art Mix),Psychic TV,0.39937785546530363,0.311,0.689,0.255,90s,rock
23456,There Is No Failure In God,Rev. Milton Brunson,0.5643538519527965,0.505,0.0395,0.939,90s,r&b
23457,Mariquita,Caifanes,0.642962766596389,0.642,0.801,0.65,90s,pop
23458,Ol' Man River,Bix Beiderbecke,0.7040464247399792,0.638,0.995,0.163,90s,pop
23459,Metal Heart,Dimmu Borgir,0.5473422167730497,0.186,0.00426,0.95,90s,rock
23460,Don't Cry for Me Argentina,Acker Bilk,0.3527460101150263,0.321,0.968,0.246,90s,rock
23461,Devil Town,Daniel Johnston,0.5083401332930167,0.582,0.967,0.0774,90s,rap
23462,Suck A Caribou's Ass,Wesley Willis,0.6649573570040965,0.525,0.000158,0.801,90s,pop
23463,Wild Wild West,Will Smith Featuring Dru Hill & Kool Mo Dee,0.4432717678100264,0.861,0.0983,0.597,90s,r&b
23464,You're The Inspiration,Peter Cetera Featuring Az Yet,0.5943095728244616,0.645,0.0834,0.6,90s,r&b
23465,James Brown Is Dead,L.A. Style,0.5414728505569063,0.599,0.0013,0.976,90s,r&b
23466,Revolution Rock,Los Fabulosos Cadillacs,0.7129395293737548,0.549,0.0813,0.915,90s,edm
23467,Last Kiss,Pearl Jam,0.464135562891688,0.622,0.363,0.692,90s,pop
23468,Doctor Jazz,Jelly Roll Morton,0.4824933829833943,0.752,0.759,0.481,90s,rap
23469,Angel,Jon Secada,0.6283742642581693,0.485,0.295,0.477,90s,r&b
23470,Sleeping With You,Firehouse,0.5003624343993738,0.584,6.45e-05,0.815,90s,pop
23471,Step By Step,New Kids On The Block,0.519200738951964,0.787,0.0274,0.63,90s,r&b
23472,The Time Has Come (Pikachu's Goodbye),Pokémon,0.8280196998628963,0.346,0.582,0.332,90s,rock
23473,Rhythm Of My Heart,Rod Stewart,0.3933138102003537,0.582,0.0621,0.54,90s,r&b
23474,Gett Off,Prince And The N.P.G.,0.4135521470613819,0.655,0.00448,0.628,90s,r&b
23475,Anti-Manifesto,Propagandhi,0.47631750081806623,0.349,0.000793,0.969,90s,rock
23476,Kickin' the Can,Parachute Express,0.39717425431711145,0.676,0.531,0.238,90s,pop
23477,John Jacob Jingleheimer Schmidt,Music For Little People Choir,0.5733587934869503,0.66,0.56,0.297,90s,pop
23478,Color Me Once,Violent Femmes,0.4922604722830882,0.689,0.636,0.512,90s,r&b
23479,We've Got It Goin' On,Backstreet Boys,0.4679173069674389,0.758,0.0851,0.875,90s,latin
23480,MMMBop,Hanson,0.43439108949851507,0.683,0.00481,0.937,90s,r&b
23481,Arcana,Edgard Varèse,0.5809968395720374,0.264,0.694,0.365,90s,rock
23482,Não Transo Mais (Parte 1),Made In Brazil,0.7147372039946484,0.356,0.00441,0.879,90s,rock
23483,Working With Meat,Jack Off Jill,0.789676211462868,0.271,0.0111,0.835,90s,rock
23484,Ska Mitzvah,King Django,0.61970483342515,0.587,0.000831,0.671,90s,pop
23485,Arena Of Concealment,Caliban,0.39391027366903736,0.28,6.06e-06,0.957,90s,rock
23486,When You Talk About Love,Patti LaBelle,0.4058851062243448,0.859,0.0156,0.761,90s,r&b
23487,Love Is All Around,Wet Wet Wet,0.34830981306669206,0.523,0.228,0.689,90s,r&b
23488,Nann,Trick Daddy Featuring Trina,0.6209764604035242,0.837,0.000507,0.819,90s,pop
23489,Days of the Broken Arrows,The Idle Race,0.5330270935246435,0.469,0.533,0.72,90s,pop
23490,Steam,Ty Herndon,0.42226299896861524,0.676,0.0497,0.738,90s,pop
23491,Mi Cantar,Los Angeles Azules,0.3536531316403159,0.468,0.269,0.602,90s,pop
23492,Under The Bridge,Red Hot Chili Peppers,0.3503435878106063,0.559,0.0576,0.345,90s,r&b
23493,Besa Me Mucho,Limpopo,0.5088081914316366,0.517,0.866,0.462,90s,pop
23494,Pomeroy Mountain,Angry Johnny and the Killbillies,0.5562228950845611,0.669,0.433,0.564,90s,r&b
23495,Lucky Love,Ace Of Base,0.4312099509988692,0.769,0.129,0.662,90s,pop
23496,Poison,Alice Cooper,0.49165986670698314,0.28,0.0327,0.908,90s,rock
23497,Metal Meltdown,Judas Priest,0.621556355442522,0.359,0.00137,0.968,90s,rock
23498,Jazz Trash,Ellery Eskelin,0.32768211810805103,0.5,0.683,0.342,90s,rap
23499,Woof,Snoop Dogg Featuring Mystikal And Fiend,0.6885797956284199,0.797,0.066,0.786,90s,rap
23500,You Used To Love Me,Faith Evans,0.36977007161703734,0.702,0.247,0.458,90s,r&b
23501,I'd Rather Eat Glass,Excuse 17,0.6124685717599401,0.26,0.0168,0.974,90s,rock
23502,Top Of The World,Van Halen,0.5300116393218541,0.546,0.0354,0.785,90s,pop
23503,Memories of Mother and Dad,Hazel Dickens,0.4214677143437038,0.61,0.803,0.475,90s,pop
23504,Sexual (Li Da Di),Amber,0.5425870774532666,0.623,0.000192,0.898,90s,latin
23505,"When I Fall In Love (From """"Sleepless In Seattle"""")",Celine Dion And Clive Griffin,0.28312546857590204,0.19,0.577,0.241,90s,rock
23506,Con Te Partirò,Andrea Bocelli,0.5602904445723895,0.241,0.844,0.367,90s,rock
23507,Think Of You,Usher,0.3856509114707381,0.71,0.0553,0.431,90s,pop
23508,White Jazz,Joe Loss And His Band,0.4615923089349399,0.867,0.926,0.338,90s,pop
23509,Khazad Dum,Summoning,0.4557602216855892,0.551,0.145,0.883,90s,r&b
23510,Better Days,Strung Out,0.46142662463808337,0.426,0.0028,0.963,90s,latin
23511,Spin That Wheel,Hi Tek 3 Featuring Ya Kid K,0.5313661084486565,0.803,0.0112,0.924,90s,latin
23512,Spend My Life,Slaughter,0.47707964858360635,0.504,0.019,0.983,90s,latin
23513,High,The Cure,0.47552221619315477,0.618,0.0164,0.717,90s,pop
23514,Runaway,The Corrs,0.6294843490471083,0.423,0.641,0.598,90s,r&b
23515,Mama Said Knock You Out,LL Cool J,0.42407724201919456,0.791,0.0314,0.759,90s,r&b
23516,Always In My Heart,Tevin Campbell,0.5142509205833744,0.713,0.0282,0.677,90s,r&b
23517,Afternoons & Coffeespoons,Crash Test Dummies,0.5091354179179283,0.604,0.0151,0.866,90s,latin
23518,Foe Tha Love Of $,Bone Thugs-N-Harmony Featuring Eazy-E,0.571064065975487,0.772,0.00295,0.695,90s,r&b
23519,Heavy Metal Mama,Devin Townsend,0.3991956027387614,0.355,0.0159,0.644,90s,rock
23520,Whoomp! (There It Is),Tag Team,0.5361668109500752,0.8,0.00123,0.639,90s,pop
23521,That Special Place (feat. New Generation Singers Reunion Choir),Daryl Coley,0.6148212887753031,0.42,0.495,0.432,90s,r&b
23522,When I Give My Love,Keith Sweat,0.4828288936845288,0.659,0.074,0.538,90s,r&b
23523,My Heart Belongs To You,Russ Irwin,0.5521636298115755,0.491,0.645,0.34,90s,r&b
23524,I Need To Know,Marc Anthony,0.47659502201530096,0.813,0.486,0.949,90s,latin
23525,It's A Party,Busta Rhymes Featuring Zhane,0.7374318105565749,0.665,0.0823,0.657,90s,rap
23526,Hold On (Tighter To Love),Clubland,0.496091921647896,0.796,0.00131,0.688,90s,r&b
23527,Sci-Fi Wasabi,Cibo Matto,0.4075875123745459,0.678,0.0174,0.849,90s,pop
23528,Melodía De Amor,Los Rebeldes Del Rock,0.6106419023870965,0.588,0.793,0.454,90s,pop
23529,Loser,Beck,0.35368212639226587,0.654,0.0337,0.611,90s,pop
23530,John Barleycorn,Kenny Baker,0.5546240416198954,0.607,0.65,0.474,90s,pop
23531,La chanson des défenseurs de Moscou,The Red Army Choir,0.4528980254573922,0.573,0.953,0.783,90s,pop
23532,Only Time Will Tell,Nelson,0.5892147806961225,0.455,0.316,0.417,90s,pop
23533,"Two Studies, Op. 39: Folk Tune",Eugene Goossens,0.8388306002327864,0.367,0.995,0.0282,90s,edm
23534,O Grande Amor,Antônio Carlos Jobim,0.5363324952469317,0.49,0.967,0.119,90s,r&b
23535,For You,Kenny Lattimore,0.5703391971767396,0.633,0.737,0.42,90s,pop
23536,หยุดเลย,J Jetrin,0.5833081355131865,0.586,0.454,0.546,90s,r&b
23537,Plasma,Plas Johnson,0.48085725055193584,0.607,0.141,0.205,90s,pop
23538,Pearl - Edit,Chapterhouse,0.41440542119019314,0.41,0.000104,0.885,90s,r&b
23539,Kind Folk,Kenny Wheeler,0.48606802168807445,0.488,0.959,0.0872,90s,r&b
23540,Chatterbox,New York Dolls,0.5790749017285014,0.378,0.426,0.762,90s,pop
23541,"The Riddler (From """"Batman Forever"""")",Method Man,0.6960355889869647,0.798,0.0571,0.668,90s,pop
23542,Jazzy Belle,OutKast,0.3811898617778754,0.878,0.0178,0.651,90s,rap
23543,Todo Aquel Ayer,Caribbean Jazz Project,0.40733070171441826,0.698,0.577,0.41,90s,r&b
23544,Said I Loved You...But I Lied,Michael Bolton,0.6615484025962729,0.547,0.189,0.569,90s,r&b
23545,Kingdom,Kickback,0.39457715296388496,0.419,8.1e-06,0.926,90s,latin
23546,Crush,Dave Matthews Band,0.3895403503394457,0.564,0.262,0.745,90s,r&b
23547,I'll Think Of A Reason Later,Lee Ann Womack,0.5883242276005186,0.594,0.0848,0.833,90s,pop
23548,Overture And A Prisoner Of The Crusades (From Chains To Freedom),Michael Kamen,0.6006552813940677,0.187,0.73,0.264,90s,rock
23549,Fly Away,Lenny Kravitz,0.6624265293696127,0.586,0.018,0.872,90s,latin
23550,The Freshmen,The Verve Pipe,0.4123964990908074,0.571,0.0757,0.505,90s,r&b
23551,Hey Lupe,Los Superclasicos,0.5127970408784581,0.715,0.149,0.33,90s,pop
23552,Uncle Tom's Cabin,Warrant,0.5242541100060889,0.633,0.186,0.732,90s,r&b
23553,Action,Terror Fabulous Featuring Nadine Sutherland,0.5131076989350642,0.62,0.187,0.477,90s,pop
23554,Get On Up,Jodeci,0.3856964746523736,0.717,0.567,0.561,90s,rap
23555,Fall Down,Toad The Wet Sprocket,0.6294843490471083,0.472,0.146,0.856,90s,latin
23556,My Favorite Mistake,Sheryl Crow,0.4334756837583826,0.613,0.00594,0.754,90s,r&b
23557,One Way Ticket,Mr. Review,0.6916408130128447,0.696,0.165,0.896,90s,latin
23558,Runaway Train,Soul Asylum,0.48603902693612455,0.613,0.0132,0.72,90s,r&b
23559,Angelus ad pastores - Transc. Denis Arnold/Edited for performance John Eliot Gardiner,Giovanni Gabrieli,0.33500536402911074,0.252,0.995,0.158,90s,rock
23560,The Animal Song,Savage Garden,0.48084896633709295,0.652,0.0639,0.669,90s,r&b
23561,Automatic Lover (Call For Love),Real McCoy,0.5508671501886729,0.688,0.0693,0.98,90s,latin
23562,She's Playing Hard To Get,Hi-Five,0.8283262158120809,0.525,0.00847,0.811,90s,edm
23563,Metal Warriors,Manowar,0.4183652758850648,0.571,0.000786,0.797,90s,pop
23564,Knockin' Boots,Candyman,0.4200221188536304,0.94,0.0954,0.662,90s,rap
23565,Judy Is a Punk,Huntingtons,0.459181602415677,0.341,0.171,0.964,90s,rock
23566,No Pigeons,Sporty Thievz Featuring Mr. Woods,0.39591505366100166,0.79,0.00913,0.656,90s,rap
23567,Groovin',UB40,0.4101514768684011,0.817,0.00204,0.561,90s,pop
23568,Kimini Mune Kyun - Uwaki Na Vacance,YELLOW MAGIC ORCHESTRA,0.589960360031977,0.623,0.317,0.942,90s,r&b
23569,You Said,Mona Lisa,0.746449178412993,0.556,0.274,0.498,90s,edm
23570,Time And Chance,Color Me Badd,0.7477746527878454,0.697,0.027,0.451,90s,edm
23571,Sweetest Thing,U2,0.5867295162432743,0.524,0.0437,0.641,90s,pop
23572,Do You See,Warren G,0.39449431081545666,0.769,0.169,0.624,90s,pop
23573,The Way You Do The Things You Do,UB40,0.33491837977326105,0.885,0.248,0.534,90s,pop
23574,Verdadeiro Amor - Ao Vivo,Banda Magníficos,0.43874444439842103,0.507,0.0149,0.832,90s,pop
23575,The Moon Song,Pat Metheny,0.31477116927550397,0.451,0.969,0.0461,90s,r&b
23576,Grandma Got Run Over By A Reindeer,Elmo & Patsy,0.45628212722068734,0.781,0.227,0.53,90s,pop
23577,Bang And Blame,R.E.M.,0.5009837505125858,0.694,0.141,0.584,90s,r&b
23578,Tootsee Roll,69 Boyz,0.5508547238664088,0.869,0.0453,0.725,90s,rap
23579,Rock And Roll Dreams Come Through,Meat Loaf,0.4648852843349639,0.564,0.169,0.888,90s,r&b
23580,I'll Be There,Mariah Carey,0.33975636124147246,0.404,0.716,0.511,90s,r&b
23581,Inside Out,Eve 6,0.7276357265049312,0.483,0.114,0.818,90s,edm
23582,I Had No Right,P.M. Dawn,0.6875235582359593,0.538,0.368,0.577,90s,r&b
23583,Blame It On The Blues,Sidney Bechet,0.40936447645833246,0.696,0.77,0.501,90s,pop
23584,Haunted Gate,David Toop,0.6246670781160039,0.239,0.468,0.235,90s,rock
23585,Naima,Pharoah Sanders,0.33125261470530976,0.259,0.0408,0.47,90s,rock
23586,Foolin' Around,Changing Faces,0.5446664153788164,0.591,0.228,0.574,90s,r&b
23587,The Way I Feel,Tag,0.38564676936331665,0.59,0.0401,0.661,90s,r&b
23588,Don't Treat Me Bad,Firehouse,0.4599975975776956,0.616,0.000303,0.807,90s,pop
23589,Fire Woman,Psychic TV,0.4969990431731856,0.686,0.00325,0.822,90s,r&b
23590,The Fool,Neutral Milk Hotel,0.4546252842521218,0.284,0.0557,0.683,90s,rock
23591,Thinkin' Bout It,Gerald Levert,0.4824933829833943,0.734,0.0983,0.659,90s,r&b
23592,Please Return,The Black Devils,0.4625988410383435,0.717,0.786,0.395,90s,pop
23593,B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,0.4372781383712405,0.748,0.00348,0.799,90s,r&b
23594,Minha,Cartola,0.41047041913984994,0.652,0.908,0.535,90s,pop
